Construction (F),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Average Regular Weekly Paid Hours (Hours),27.5,26.4,25.6,25.6,25.1,25.1,25.6,25.7,26.2,26.3
Average Overtime Weekly Paid Hours (Hours),0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3
Average Total Weekly Paid Hours (Hours),27.8,26.8,26,26,25.5,25.5,26,26.1,26.5,26.7
Registered Employment  (Number),149600,130600,127000,116300,122700,137800,144900,148800,157900,169300
Information and communication (J),,,,,,,,,,
Average Regular Earnings (Euro),45442,44894,44989,45452,46851,47566,47505,49434,49290,49414
Average Overtime Earnings (Euro),750,546,523,493,535,516,586,493,425,408
Average Total Earnings excluding Irregular (Euro),46193,45440,45512,45945,47386,48083,48091,49926,49715,49822
Average Irregular Earnings (Euro),3920,3248,3528,3798,4643,4946,5341,6040,6193,6936
Average Total Earnings (Euro),50113,48688,49040,49743,50113,53029,53432,55966,55908,56757
Average Other Labour Costs (Euro),10773,10461,10277,10397,10908,14129,11703,13104,13230,13531
Average Total Labour Costs (Euro),60885,59150,59317,60140,62936,67158,65135,69070,69138,70289
Average Hourly Regular Earnings  (Euro),24.14,23.99,23.93,24.51,24.97,25.08,25.18,26.19,26.2,26.23
Average Hourly Overtime Earnings (Euro),0.4,0.29,0.28,0.27,0.29,0.27,0.31,0.26,0.23,0.22
Average Hourly Total Earnings excluding Irregular (Euro),24.54,24.28,24.21,24.77,25.26,25.35,25.49,26.45,26.43,26.44
Average Hourly Irregular Earnings (Euro),2.08,1.74,1.88,2.05,2.47,2.61,2.83,3.2,3.29,3.68
Average Hourly Total Earnings (Euro),26.62,26.01,26.09,26.82,27.73,27.96,28.32,29.66,29.72,30.12
Average Regular Weekly Paid Hours (Hours),35.7,35.6,35.7,35.3,35.7,36.1,35.9,36,35.9,36
Average Overtime Weekly Paid Hours (Hours),0.5,0.4,0.5,0.4,0.3,0.3,0.4,0.3,0.3,0.3
Average Total Weekly Paid Hours (Hours),36.2,36,36.1,35.7,36.1,36.5,36.3,36.3,36.2,36.2
Registered Employment  (Number),61700,54400,53300,52600,56500,57000,59600,62500,65800,70100
"Professional, scientific and technical activities (M)",,,,,,,,,,
Average Regular Earnings (Euro),40112,40322,39254,37044,39329,40058,38623,39363,41698,43022
Average Overtime Earnings (Euro),347,265,259,208,220,264,277,350,358,330
Average Total Earnings excluding Irregular (Euro),40459,40586,39513,37252,39549,40321,38900,39713,42056,43352
Average Irregular Earnings (Euro),1738,1579,2001,1941,2430,1898,2239,2241,2575,2922
Average Total Earnings (Euro),42197,42165,41515,39193,41979,42219,41140,41954,44632,46274
Average Other Labour Costs (Euro),8565,7631,6628,6306,6885,7063,6398,6705,7332,7688
Average Total Labour Costs (Euro),50762,49796,48143,45499,48865,49282,47537,48659,51964,53963
Average Hourly Regular Earnings  (Euro),23.49,23.72,23.59,22.49,23.41,23.55,22.89,23.11,23.73,24.47
Average Hourly Overtime Earnings (Euro),0.2,0.16,0.16,0.13,0.13,0.16,0.16,0.21,0.2,0.19
Average Hourly Total Earnings excluding Irregular (Euro),23.69,23.88,23.75,22.62,23.54,23.71,23.06,23.31,23.94,24.66
